Ticker,Exchange,Market Capitalization,Last,Change %,Change,Volume,Price to Earnings Ratio (TTM),Number of Employees,Sector
ICHR,NASDAQ,973447894.9999998,34.91,-1.2446959,-0.44,526998,28.51956434,1715,Electronic Technology
PLRX,NASDAQ,973213657,27.43,-0.72385089,-0.2,46086,,62,Health Technology
KRNY,NASDAQ,972084030,10.86,-3.20855615,-0.36,580709,20.61742007,552,Finance
CRY,NYSE,971823574.0000002,25.01,3.13402062,0.76,243235,,1200,Health Technology
KFRC,NASDAQ,968922693,44.13,-1.4295287,-0.64,78730,18.62622733,12900,Commercial Services
ACEL,NYSE,968254704.0000002,10.38,0.48402711,0.05,272999,,730,Consumer Services
EIG,NYSE,967853685,33.35,-1.33136095,-0.45,141502,11.76306814,704,Finance
CCX.U,NYSE,966880000,11.1,-0.98303331,-0.1102,8013,,,Finance
SM,NYSE,964704660,8.42,-1.05757932,-0.09,4999829,,530,Energy Minerals
NP,NYSE,964457760,57.4,-3.96519993,-2.37,67608,,2324,Process Industries
AUDC,NASDAQ,962991120.0000002,29.4,0.58159425,0.17,168133,97.30359521,698,Electronic Technology
CYH,NYSE,961752839.9999998,8.04,-3.8277512,-0.32,1684197,,80000,Health Services
ADVM,NASDAQ,959814730,11.9,-0.50167224,-0.06,824527,,114,Health Technology
CHEF,NASDAQ,959728077,25.41,0.23668639,0.06,513398,,2447,Distribution Services
ORGO,NASDAQ,958437900,7.65,-2.42346939,-0.19,359035,,835,Finance
WNC,NYSE,956810114,18.07,-2.48246087,-0.46,239661,,6900,Producer Manufacturing
PHAR,NASDAQ,956446000,14.65,-2.26817879,-0.34,20961,25.32950321,,Commercial Services
OSPN,NASDAQ,956118020,23.53,-0.8010118,-0.19,318739,666.29213483,744,Technology Services
SYBT,NASDAQ,955333200,42.1,-3.44036697,-1.5,55261,17.17414425,615,Finance
PTNR,NASDAQ,954100000,5.1431,-1.47318008,-0.0769,8896,169.48051948,2834,Communications
MORF,NASDAQ,953673064,30.64,2.2355689,0.67,129299,,76,Health Technology
TEN,NYSE,953542419.34,11.71,-3.77978636,-0.46,1173991,,78000,Producer Manufacturing
GGAL,NASDAQ,953089000,8.22,-1.20192308,-0.1,429077,1.95907603,,Finance
RESI,NYSE,952878000,16.23,0.06165228,0.01,1462208,,220,Finance
TPRE,NYSE,947652640,9.92,-0.8,-0.08,246725,24.74022761,35,Finance
WOW,NYSE,946610500,10.9,1.20705664,0.13,274828,46.84645498,2200,Communications
SMP,NYSE,944307427,42.07,-1.29047396,-0.55,210626,16.26034871,4200,Consumer Durables
SGH,NASDAQ,942349704,38.04,-8.08263864,-3.345,730649,3762.27272727,1754,Electronic Technology
AMPH,NASDAQ,940579200,19.8,-4.11622276,-0.85,306691,153.53159851,2027,Health Technology
JBSS,NASDAQ,940178631.88,82.33,-1.18819011,-0.99,36381,17.80456012,1370,Consumer Non-Durables
GSAT,NYSE ARCA,935429600.0000002,0.56,41.59292035,0.1645,132583977,,336,Communications
VIVO,NASDAQ,935340039,21.69,2.84495021,0.6,575837,19.7453422,750,Health Technology
IHRT,NASDAQ,935130482.56,13.28,-1.26394052,-0.17,472141,,11400,Consumer Services
BMA,NYSE,932216000,14.68,-1.07816712,-0.16,172963,1.8385678,8768,Finance
AIO,NYSE,931529000,27.49,1.28960943,0.35,140700,,,Miscellaneous
UNFI,NYSE,931286286,16.59,-0.95522388,-0.16,1928289,8.82554402,28300,Distribution Services
VNOM,NASDAQ,930392133,13.71,-0.93930636,-0.13,508512,,,Energy Minerals
FFWM,NASDAQ,929119566,20.82,-3.11772918,-0.67,136086,12.49709235,485,Finance
GLDD,NASDAQ,929078150,14.3,-2.2556391,-0.33,584639,13.44051447,385,Industrial Services
EXTR,NASDAQ,928748150,7.55,0.66666667,0.05,707464,,2584,Electronic Technology
DENN,NASDAQ,928463536,14.56,-0.2739726,-0.04,742426,96.4332893,4000,Consumer Services
AGYS,NASDAQ,928077808.0000002,39.34,-2.11495397,-0.85,84359,,1275,Technology Services
CSR,NYSE,926739000,71.75,0.46205545,0.33,32816,17.25662648,392,Finance
ADAP,NASDAQ,925430000,6.18,3.34448161,0.2,1251461,,400,Health Technology
RAD,NYSE,923899193,16.73,-0.88862559,-0.15,3080015,,50000,Retail Trade
