Ticker,Exchange,Market Capitalization,Last,Change %,Change,Volume,Price to Earnings Ratio (TTM),Number of Employees,Sector
SRTS,NASDAQ,62880744.96000001,3.8104,1.07161804,0.0404,2547,,53,Health Technology
NHTC,NASDAQ,62712270,5.49,0.54760902,0.0299,3428,,152,Consumer Non-Durables
DWSN,NASDAQ,62667744.52,2.6692,2.26819923,0.0592,36675,,455,Technology Services
VOLT,NYSE ARCA,62601408,2.88,0.34843206,0.01,85365,,15600,Commercial Services
CNET,NASDAQ,62550960,2.4,0,0,1140721,,,Commercial Services
BPT,NYSE,62488000,2.89,-1.02739726,-0.03,95778,3.84716733,,Miscellaneous
BRLI,NASDAQ,62209980,10.18,0.09832842,0.01,376,,1,Finance
WEI,NYSE,61932600,1.6075,-8.14285714,-0.1425,1095639,,6970,Technology Services
NNA,NYSE,61573950.34,3.6001,0.00277778,0.0001,40337,1.37567351,,Transportation
SMLP,NYSE,61522832,16.18,-0.30807147,-0.05,15943,1.01992082,261,Utilities
EDSA,NASDAQ,60823518,5.78,12.6705653,0.65,284845,,12,Health Technology
BBGI,NASDAQ,60629975.01,2.07,-8.81057269,-0.2,410576,,1438,Consumer Services
SOS,NYSE,60625000,2.1,4.47761194,0.09,5309536,,163,Technology Services
WKEY,NASDAQ,60536900,6.79,1.34328358,0.09,94176,,,Technology Services
IMH,NYSE ARCA,60509460.98,2.8502,0.71378092,0.0202,54958,,530,Finance
DOGZ,NASDAQ,60499728,2.06,-0.96153846,-0.02,671344,,280,Consumer Non-Durables
REED,NASDAQ,60417412.2,0.9595,18.98561508,0.1531,3723618,,28,Consumer Non-Durables
ARPO,NASDAQ,60302976,1.28,-2.29007634,-0.03,1081988,,12,Health Technology
EVK,NASDAQ,60273444.00000001,4.07,9.70350404,0.36,208717,,4500,Consumer Non-Durables
VIRI,NASDAQ,60154306.449,7.6801,-0.77390181,-0.0599,88176,,,Health Technology
BYFC,NASDAQ,60141930.42,2.145,-0.23255814,-0.005,139477,,64,Finance
BLRX,NASDAQ,60011800,2.5,-1.18577075,-0.03,1549137,,42,Health Technology
NAVB,NYSE ARCA,59915432.72,2.2451,-0.21777778,-0.0049,111654,,17,Health Technology
ATIF,NASDAQ,59893811.24999999,1.1661,-2.00840336,-0.0239,2282003,,97,Finance
SONM,NASDAQ,59883160.038,0.905099,-1.9712986,-0.018201,1363340,,403,Electronic Technology
SIF,NYSE ARCA,59634489.6,10.08,-0.09910803,-0.01,13697,6.45801331,446,Electronic Technology
CLPS,NASDAQ,59610288.5,3.745,7.30659026,0.255,10985683,17.2345679,2746,Technology Services
ASRV,NASDAQ,59021050.14,3.4599,-0.29393966,-0.0102,1905,12.96264475,328,Finance
APDN,NASDAQ,58934445.3,10.41,0,0,386694,,61,Commercial Services
CCNC,NASDAQ,58847992,2.017,5.60209424,0.107,133954,,,Miscellaneous
MBOT,NASDAQ,58642072.5,8.25,1.60098522,0.13,138874,,11,Health Technology
BOTJ,NASDAQ,58619890,13.51,2.93333333,0.385,7208,11.92964915,160,Finance
ATHE,NASDAQ,58220600,1.8801,9.30813953,0.1601,961657,,12,Health Technology
LGL,NYSE ARCA,57905443.5,11.01,-1.34408602,-0.15,2559,28.0331575,353,Electronic Technology
NM,NYSE,57652159.17,3.6301,5.22028986,0.1801,59554,,401,Transportation
CHNR,NASDAQ,57439889,1.69,-7.14285714,-0.13,1122556,9100,10,Distribution Services
GIFI,NASDAQ,57316622,3.74,-0.26666667,-0.01,9627,,944,Producer Manufacturing
BBQ,NASDAQ,57236538.15,6.165,5.53434788,0.3233,30502,9.05549527,1677,Consumer Services
AXR,NYSE,57122286,7.8,-1.39064475,-0.11,962,,16,Finance
ZKIN,NASDAQ,57088314,3.18,3.24675325,0.1,223927,,,Producer Manufacturing
CTXR,NASDAQ,57010733.67,1.2309,-1.528,-0.0191,532632,,10,Health Technology
VCNX,NASDAQ,56859424,2.54,-4.86891386,-0.13,1177048,,49,Health Technology
PULM,NASDAQ,56772375,1.65,4.43037975,0.07,2179266,,22,Health Technology
USWS,NASDAQ,56609264.5536,0.788799,8.20288066,0.059799,12711254,,871,Finance
SMID,NASDAQ,56401811.2,10.88,-0.18348624,-0.02,5141,20.64784997,232,Non-Energy Minerals
RFIL,NASDAQ,56302445.25,5.717,0.65140845,0.037,539914,,271,Electronic Technology
PW,NYSE ARCA,56066300,31.49,7.62132604,2.23,33604,44.34677175,,Finance
VTNR,NASDAQ,56032404,1.23,12.8440367,0.14,1740869,,225,Industrial Services
YTEN,NASDAQ,55845670.905,16.7501,32.41185771,4.1001,835719,,25,Process Industries
BRQS,NASDAQ,55620432,1.26,5.88235294,0.07,6160076,,556,Technology Services
CDOR,NYSE ARCA,55509800,4.495,-2.70562771,-0.125,3726,,14,Finance
CCLP,NASDAQ,55506366.05999999,1.1722,0.18803419,0.0022,36455,,791,Industrial Services
MRM,NASDAQ,55349600,13.87,0.7994186,0.11,19581,,233,Consumer Services
AEHR,NASDAQ,55128859.50000001,2.365,-3.07377049,-0.075,55383,,71,Electronic Technology
FUSB,NASDAQ,54972001.656,8.9001,-4.4027927,-0.4099,1242,21.75233645,280,Finance
MDGS,NASDAQ,54884500,2.845,3.83211679,0.105,4412246,,20,Health Technology
CATB,NASDAQ,54737751.22,2.7254,-0.53284672,-0.0146,462766,,27,Health Technology
ALJJ,NASDAQ,54594090,1.29,-4.44444444,-0.06,57784,,7743,Commercial Services
FEDU,NYSE,54589600,1.28,8.47457627,0.1,234579,,910,Commercial Services
CBMB,NASDAQ,54582353.306,14.7001,3.17887023,0.4529,13994,71.23780175,,Finance
RAIL,NASDAQ,54527148,3.51,4.46428571,0.15,230050,,496,Producer Manufacturing
TRVI,NASDAQ,54333644.8,2.956,-1.79401993,-0.054,85664,,17,Health Technology
SNSS,NASDAQ,54324900,3,-2.28013029,-0.07,971853,,24,Health Technology
VISL,NASDAQ,54307846.68000001,2.6011,3.62948207,0.0911,4698003,,150,Electronic Technology
CSU,NYSE,54009633.64592995,25.385,-5.94664691,-1.605,44561,,6600,Health Services
ATV,NYSE,53864700,20.84,-0.14374701,-0.03,7947,7.04401242,121,Retail Trade
FSEA,NASDAQ,53843400,8.85,-0.97237297,-0.0869,2007,39.5214887,84,Finance
STRM,NASDAQ,53827440,1.7,2.40346967,0.0399,213674,,80,Technology Services
NCTY,NASDAQ,53774000,10.2426,12.55604396,1.1426,1119852,0.7916692,61,Technology Services
